text,intent
How would i say hello in french?,translate
How can i say i love you in italy?,translate
What is spanish for good morning?,translate
How do you say it's snowing in german?,translate
How would you say can i borrow five dollars in portuguese?,translate
Do you know how to say where is the restroom in french?,translate
How would i say pleased to meet you if i were japanese?,translate
Can you translate hello into swedish for me?,translate
Can you translate i love you into french for me?,translate
Can you translate where's the bar into irish for me?,translate
How would i say goodbye if i were norwegian?,translate
How would i say i love you if i were french?,translate
How would i say hello if i were swedish?,translate
Can you translate good bye into russian for me?,translate
Can you translate i have to go pee into korean for me?,translate
How would i say i'm not guilty if i were mexican?,translate
How do you say thank you in spanish?,translate
How does one say thank you in spanish?,translate
How can i say thank you in spanish?,translate
What is thank you in spanish?,translate
What is the way to say thank you in spanish?,translate
"How do they say ""who is your father"" in german?",translate
"How do they say ""where's the bathroom"" in spanish?",translate
"How do they say ""how's it going"" in swahili?",translate
"How do they say ""i love you"" in japanese?",translate
"How do they say ""what's up"" in chinese?",translate
How do you say thank you in german?,translate
How do you say please in arabic?,translate
How do you say cat in spanish?,translate
How do you say i'm hungry in french?,translate
How do you say i need coffee in dutch?,translate
How do they say yes in brazil?,translate
Can you translate cat into russian for me?,translate
Can you translate bowl into russian for me?,translate
How do they say hello in france?,translate
I wanna know a phrase in spanish?,translate
Can you translate bat into russian for me?,translate
How do they say no in germany?,translate
Can you translate hi into spanish for me?,translate
I wanna learn a phrase in russian?,translate
How do they say hello in germany?,translate
Can you translate milk into spanish for me?,translate
How do they say hello in brazil?,translate
I need $20000 transferred from my savings to my checking?,transfer
Complete a transaction from savings to checking of $20000?,transfer
Transfer $20000 from my savings account to checking account?,transfer
Take $20000 from savings and put it in checking?,transfer
Put $20000 into my checking account from my savings account?,transfer
Send 100 dollars between bank of the west and bank of america acccounts?,transfer
Send 50 dollars between bank of america and chase accounts?,transfer
Send 2000 dollars between chase and rabobank accounts?,transfer
Send 1200 dollars between usaa and navy federal accounts?,transfer
Send 400 dollars between city bank and usaa accounts?,transfer
Take $40 and transfer it to account a from b?,transfer
Transfer $40 from account a to b?,transfer
Move $40 from account b to account a?,transfer
Put $40 from account a to b?,transfer
Take $40 from account a and transfer it to account b?,transfer
I need to transfer from this account to that one?,transfer
Need to transfer from one account to my other one?,transfer
I would like to transfer from one account to my second one?,transfer
I need to transfer from one account to my second one?,transfer
I have to transfer from one account to my other one?,transfer
Send fifty dollars from me to carrie?,transfer
Transfer sixty dollars to dad from my biggest accnt?,transfer
Send over a hundred dollars from huntington into saving?,transfer
Move 57 dollars from saving into mom?,transfer
Transfer two hundred dollars between my portfolio and my money market account?,transfer
I need to transfer ten dollars from my bank of america account to my capital one account?,transfer
Go ahead and send ten dollars from bank of america to capital one?,transfer
I must transfer ten dollars from my bank of america account to my capital one account?,transfer
I got to transfer ten dollars from my bank of america account to my capital one account?,transfer
I want you to send ten dollars from bank of america to capital one?,transfer
I need you to send ten dollars from bank of america to capital one?,transfer
I have to transfer ten dollars from my bank of america account to my capital one account?,transfer
Send ten dollars from bank of america to capital one?,transfer
Please send ten dollars from bank of america to capital one?,transfer
Make a transfer of $200 from my savings account to my checking account?,transfer
Please transfer $250 from checking to savings?,transfer
Transfer $500 from my checking to my savings?,transfer
Please transfer $100 from my checking to my savings account?,transfer
Transfer $500 from my money market savings account to my checking account?,transfer
Send money from one account to another?,transfer
Transfer 200 dollars from paypal to savings?,transfer
Transfer $10 from checking to savings?,transfer
Send $100 from paypal to my bank?,transfer
Please transfer 100 dollars between my amazon payments and savings accounts?,transfer
I would like to make a transfer?,transfer
I want to transfer funds between accounts?,transfer
Send over 50 dollars between my shared and not shared accounts?,transfer
Whats the quickest way to money from one account to another?,transfer
What is the process to move money from one account to another?,transfer
I need you to send 500 dollars from my high tier account to my regular checking account?,transfer
Can you transfer money from a to b?,transfer
Send my money between accounts?,transfer
How can i send money from one account to another?,transfer
I need to move money from one account to another?,transfer
Send $20 from debit to steve's account?,transfer
Send 20 dollars from savings to checking?,transfer
Please transfer my funds?,transfer
Please transfer $50 to my checking account from credit?,transfer
Go ahead and move $200 from amazon to my bank account?,transfer
Help me move my money?,transfer
I need my money to be moved?,transfer
Help me move my money please?,transfer
I need to move my money?,transfer
Move my money please?,transfer
I would like to transfer $5 from savings to checking?,transfer
Transfer $5 from savings to checking?,transfer
Can you transfer $5 from savings to checking?,transfer
Send $5 from savings to checking?,transfer
Please transfer $5 from savings to checking?,transfer
Please switch $s checking to mortage?,transfer
Please transfer $s from saving to checking?,transfer
Could you transfer $x from saving to checking?,transfer
Help me transfer $x from credit to debit?,transfer
Please transfer $x from checking to saving?,transfer
Transfer money to another account?,transfer
Requesting money transfer between accounts?,transfer
Transfer money from this account to that account?,transfer
Can you transfer money from my account?,transfer
Money transfer request?,transfer
Send 100 dollars from checking to savings?,transfer
Transfer 100 dollars checking to savings?,transfer
Transfer 100 dollars between checking and savings?,transfer
Take 100 dollars from checking and send it to savings?,transfer
Move 100 dollars from checking to savings?,transfer
Can we wire some money over to the other account i have?,transfer
Time to move some cash from one account to another?,transfer
I need to throw some money into that other account?,transfer
Let's send some money to another account?,transfer
I want to initiate a transfer from one account to the other?,transfer
Transfer money from one place to another?,transfer
Move money from one account to another?,transfer
Transfer between two accounts?,transfer
Make a transfer between accounts?,transfer
Send money to another account?,transfer
I need ten dollars sent from b of a to washington mutual?,transfer
Transfer fifty dollars between my chase and bank of america account?,transfer
Deposit ten bucks from my chase account to my ally account?,transfer
Put a hundred dollars in my ally account from bluebird?,transfer
I want seventy bucks transferred from b of a to chase?,transfer
Can i initiate a one-time transfer from my savings account to my money market account?,transfer
Please set a 4 minute timer?,timer
Please set a timer for 6 minutes?,timer
Set a timer for 5 minutes?,timer
I need a 7 minute timer?,timer
I need to set the timer for two minutes?,timer
Can you set a timer for me for fifteen minutes starting now?,timer
Start the timer now and stop at thirty minutes?,timer
I would like you to set the timer to go off in ten minutes?,timer
Please set a timer for 40 minutes?,timer
Wake me in an hour?,timer
Please set a timer for cookies?,timer
I want a timer set?,timer
Remind me in (x) hours?,timer
Set timer for (x) minutes?,timer
I gotta have a 10 minute timer?,timer
Please set a timer for me?,timer
I need a 10 minute timer?,timer
I wish to have a 10 minute timer?,timer
I really need to set a timer?,timer
Set a new timer for ten seconds?,timer
Set a timer for me?,timer
I want a 10 minute timer?,timer
I gotta set a timer?,timer
Set a 10 minute timer?,timer
Set a brand new timer for eight seconds?,timer
Set a ten second timer?,timer
I must set a timer?,timer
Set a timer for twelve seconds?,timer
Set a timer for fifteen seconds?,timer
Tell me when two minutes are up?,timer
Start a timer for two minutes?,timer
Set a timer for two minutes?,timer
Start counting down from two minutes?,timer
Can you set a timer for two minutes?,timer
"""please set 5 minute timer?",timer
Can u please set the timer for 5 minutes?,timer
Set timer of 5 minutes?,timer
"""can u set a timer for 5 minutes?",timer
Set a one hour timer?,timer
Please set a timer for 20 minutes?,timer
Set a five minute timer please?,timer
Set a timer for two hours?,timer
Can you set a two hour timer?,timer
Set the timer for me please?,timer
You need to set the timer for me?,timer
I need you to set timer for me?,timer
Please set the timer for me?,timer
I would like a timer set?,timer
Can you set a timer?,timer
I need you to set a time?,timer
I need a timer set for 15 minutes?,timer
Start a countdown for 20 minutes?,timer
Set a timer for 15 minutes?,timer
I'll need you to set a timer for 10 minutes?,timer
Let's get a timer set for 5 minutes?,timer
Set a timer for 35 minutes?,timer
Please start counting down from 10 minutes?,timer
Let's get a timer going for 10 minutes?,timer
I need a timer for 20 seconds?,timer
Timer 5 minutes?,timer
Alert me in 20 minutes?,timer
Give me a 10 minute countdown?,timer
Let me know in 15 minutes please?,timer
"I'm cooking an egg, timer for 3 mins?",timer
10 minute timer?,timer
Start a timer for 10 minutes?,timer
Timer 10 minutes?,timer
Count down 10 minutes?,timer
Make up a timer for me?,timer
Create a timer for me?,timer
Can you set a timer for me?,timer
I need to set a timer?,timer
Set up a timer?,timer
Could you start a timer for me?,timer
Lets set a timer for me?,timer
Please run a timer for me?,timer
Set a one minute timer?,timer
Set a five minute timer?,timer
Set a seven minute timer?,timer
Start a timer for me?,timer
Set a four minute timer?,timer
Set a six minute timer?,timer
How do i set a timer?,timer
I want a timer for 5 minutes?,timer
Timer for 5 minutes?,timer
Set a timer to go off in 5 minutes?,timer
Set timer for 5 minutes?,timer
I want to set a timer?,timer
Make a timer for 5 minutes?,timer
Please set a timer for?,timer
Remind me that time is up in sixty minutes?,timer
Set an alarm for nine minutes from now?,timer
Tell me when ninety minutes have passed?,timer
Please set timer for 4 pm?,timer
Want 5 minute timer?,timer
Set 30 minute timer?,timer
Get a 3 minute timer?,timer
"Please, can you set the timer for me?",timer
Can you please the timer?,timer
Will you set the timer?,timer
What is the meaning of realism?,definition
What is regard mean?,definition
What is the meaning of interorganizational?,definition
What is it is all relative mean?,definition
What is intercontinental mean?,definition
What is the meaning of supercede?,definition
What is let it be mean?,definition
What is the definition of incomprehensible?,definition
What is the meaning of stupendous?,definition
What is the definition of intelligent?,definition
What is good riddance mean?,definition
What is break a leg mean?,definition
What is the meaning of hyperactive?,definition
What is the definition of valor?,definition
What is stupedous meant?,definition
Find the meaning of qat?,definition
What the heck is qat?,definition
Define qat for me?,definition
Read me a definition for qat?,definition
Look up qat please?,definition
What might the meaning of altruism be?,definition
Exactly what does altruism mean?,definition
What does altruism mean?,definition
What is the definition of altruism?,definition
What is the meaning of altruism?,definition
Affiliate's definition is what?,definition
The definition of affiliate is?,definition
What's the meaning of affiliate?,definition
What's affiliate definition?,definition
Definition of affiliate is what?,definition
Whats the definition of poor?,definition
"Describe the meaning of ""dog?",definition
"What does ""money"" mean?",definition
Tell me what the word die means?,definition
What is the definition of succumb?,definition
What is the meaning of telepathy?,definition
What does tertiary mean?,definition
Tell me the definition of the word redemption?,definition
What is the meaning of the word lux?,definition
What is an ataraxy?,definition
What does the word ataraxy mean?,definition
What does ataraxy mean?,definition
Use the word ataraxy in a sentence?,definition
Define ataraxy?,definition
What does discretionary mean?,definition
Define discretionary?,definition
I want to know the definition of discretionary?,definition
Can you give the definition of deiscretionary?,definition
Let's hear the definition of iridium?,definition
What's the definition of analogy?,definition
Can you tell me the definition of sucrose?,definition
Definition of anachronism?,definition
What's the definition of patriarchy?,definition
Can you tell me the definition of yttrbium?,definition
Please share the definition of episcopalian?,definition
What does saffron mean?,definition
Define sonogram?,definition
Define thoroughbred?,definition
What's the meaning of a fortnight?,definition
What is an anachronism?,definition
What's the meaning of emulsify?,definition
Tell me what cyst means?,definition
What is the definition of flange?,definition
Tell me what flange means?,definition
Define flange?,definition
Flange means what?,definition
What is the meaning of flange?,definition
"What does ""rescind"" mean?",definition
"What is the meaning of word ""rescind?",definition
"Is ""rescind"" a word of positive connotation?",definition
"Where i can use word ""rescind?",definition
Read me the definition of ajar?,definition
What does ajar mean?,definition
Can you show me the dictionary definition of ajar?,definition
Tell me what monstrosity means?,definition
Give me the definition of ajar?,definition
What is the definition of didactic?,definition
I need to know what adumbrate means can you look it up for me now?,definition
I want to know what the word discomfit means?,definition
Find what the word diaphanous mean please?,definition
Do you know what calumny means  please look it up for me?,definition
Find out what the word abrogate means for me?,definition
Tell me what edict means?,definition
What does the word abjure mean?,definition
Can you tell me what dirge means?,definition
Tell me what the word arboreal means?,definition
Whats the definition of transmute?,definition
What is the meaning of the word slander?,definition
What is meant by defense?,definition
Tell me what the word bounty means?,definition
What does deceive mean?,definition
Define zesty?,definition
Look up zesty in dictionary?,definition
Definition of zesty?,definition
What is the definition of zesty?,definition
What does zesty mean?,definition
Tell me what alternative means?,definition
What does alternative mean?,definition
Give me the meaning of alternative?,definition
Tell me the meaning of alternative?,definition
Does life have meaning?,meaning_of_life
Is being alive the meaning of life?,meaning_of_life
What is the real meaning of life?,meaning_of_life
What is the answer to the meaning of life?,meaning_of_life
Is there really an answer to the meaning of life?,meaning_of_life
Does life have a meaning?,meaning_of_life
Who can tell me if there's any meaning to life?,meaning_of_life
What makes life have any meaning?,meaning_of_life
Why do you think we're here?,meaning_of_life
What's the answer to existence?,meaning_of_life
What's the point of sentience?,meaning_of_life
What's the purpose of existence?,meaning_of_life
What's the purpose of life?,meaning_of_life
What's the point of this dumpster fire known as life?,meaning_of_life
What is life's meaning?,meaning_of_life
Is there a greater purpose in life?,meaning_of_life
What is our purpose in life?,meaning_of_life
How is life in existence?,meaning_of_life
What's lifes meaning?,meaning_of_life
What exactly is the meaning of life?,meaning_of_life
Whats lifes meaning exactly?,meaning_of_life
What's the meaning of this life?,meaning_of_life
What is the meaning of life here?,meaning_of_life
Does my life have meaning?,meaning_of_life
I wish to know the meaning of life?,meaning_of_life
I wanna know the meaning of life?,meaning_of_life
I wanna know the point of life?,meaning_of_life
I need to know the point of life?,meaning_of_life
I must know the point of life?,meaning_of_life
Tell the meaning of life?,meaning_of_life
I gotta know the meaning of life?,meaning_of_life
What is your take on the meaning of life?,meaning_of_life
Tell me what is the purpose of life?,meaning_of_life
What meaning does life hold?,meaning_of_life
What do you think is the meaning of like?,meaning_of_life
How do i find the meaning of life?,meaning_of_life
What is the purpose of exsistance?,meaning_of_life
What is your version on the meaning of life?,meaning_of_life
What is your explanation for the meaning of life?,meaning_of_life
What is the purpose of creation?,meaning_of_life
Can you figure out the meaning of life?,meaning_of_life
Whats your take on the meaning of life?,meaning_of_life
Can you explain the meaning of life to me?,meaning_of_life
What is life all about?,meaning_of_life
Can you explain the meaning of life?,meaning_of_life
"What's the point of life, anyways?",meaning_of_life
The meaning of life please?,meaning_of_life
The meaning of life?,meaning_of_life
I'd like to me told the meaning of life?,meaning_of_life
Do you know the meaning of life?,meaning_of_life
Say what the meaning of life is?,meaning_of_life
Can you tell me life's meaning?,meaning_of_life
What's the meaning of my life?,meaning_of_life
What is the underlying purpose to life?,meaning_of_life
What do you think about the meaning of life?,meaning_of_life
What is life’s meaning?,meaning_of_life
Help me figure out the meaning of life?,meaning_of_life
"Would you tell me the meaning of life, please?",meaning_of_life
"Could you tell me the meaning of life, please?",meaning_of_life
Can you tell me the meaning of life?,meaning_of_life
Could you tell me the meaning of life?,meaning_of_life
"Can you tell me the meaning of life, please?",meaning_of_life
What does life mean to you?,meaning_of_life
Is there really a meaning of life?,meaning_of_life
Is there any meaning to being alive?,meaning_of_life
What is the meaning of my life?,meaning_of_life
What is the point of life?,meaning_of_life
What's the point of everything?,meaning_of_life
Is there a meaning to life?,meaning_of_life
Why are we here in life?,meaning_of_life
Can you share the meaning of life?,meaning_of_life
Research the meaning of life?,meaning_of_life
Can you tell me what you think the meaning of life is?,meaning_of_life
What is our purpose here on earth?,meaning_of_life
Is love the meaning of life?,meaning_of_life
Is there a reason people exist?,meaning_of_life
What is the secret or meaning to life?,meaning_of_life
What does life mean on a deeper level?,meaning_of_life
How would you put what life is all about?,meaning_of_life
How would you describe what life means?,meaning_of_life
What do people say life means or the meaning is?,meaning_of_life
Life has what meaning or what's the secret to it?,meaning_of_life
Where is there meaning in life?,meaning_of_life
What is the meaning of this life?,meaning_of_life
Do you know what the meaning of life is?,meaning_of_life
What's life's meaning?,meaning_of_life
"Does life have a meaning, according to you?",meaning_of_life
Does this life have a meaning?,meaning_of_life
Can you share with me your interpretation of the meaning of life?,meaning_of_life
What do you think is the meaning of life?,meaning_of_life
Is there a meaning in life?,meaning_of_life
I wonder if you can explain the meaning of life?,meaning_of_life
"I always wonder about the meaning of life, can you tell me?",meaning_of_life
What's my meaning in life?,meaning_of_life
Define the meaning of life?,meaning_of_life
Meaning of life is?,meaning_of_life
What is your perception of the meaning of life?,meaning_of_life
Whats the meaning of life?,meaning_of_life
What do you think the meaning of life is?,meaning_of_life
What is behind life's meaning?,meaning_of_life
How to create a new aaa insurance plan?,insurance_change
Website to start aaa new insurance plan?,insurance_change
Aaa insurance start new plan?,insurance_change
I want to start a new aaa insurance plan?,insurance_change
Is new this a good insurance plan for me?,insurance_change
What do i do to get new insurance?,insurance_change
New insurance is obtainable how?,insurance_change
How is new insurance gotten?,insurance_change
What do i do for new insurance?,insurance_change
"How do i get new insurance, please?",insurance_change
How can i obtain new insurance?,insurance_change
"How can i obtain new insurance, please?",insurance_change
"How can i get new insurance, please?",insurance_change
How do i make my insurance policy different?,insurance_change
How do i change my insurance policy?,insurance_change
How do i modify my insurance policy?,insurance_change
How do i alter my insurance policy?,insurance_change
How do i get different terms on my insurance policy?,insurance_change
Help me change my insurance plan?,insurance_change
I would like a new insurance plan?,insurance_change
Connect me with some new insurance?,insurance_change
I need a newer insurance plan?,insurance_change
My insurance plan needs to be changed?,insurance_change
What rental insurance policy do you recommend?,insurance_change
Help me find a new auto insurance policy?,insurance_change
Find the best life insurance for me?,insurance_change
I need new home owners insurance?,insurance_change
I need new health care coverage?,insurance_change
How do i change my current insurance to a new plan with lower co-pay?,insurance_change
What steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan?,insurance_change
I need to change my insurance to a plan with a lower deductible?,insurance_change
How do i go about changing my insurance to a new low monthly premium plan?,insurance_change
I would like to change my insurance from a ppo to an hmo plan?,insurance_change
Help me figure out getting new insurance?,insurance_change
I would like to get a new insurance plan?,insurance_change
I want help adjusting my insurance policy?,insurance_change
I am hoping to switch insurance plans?,insurance_change
I need help acquiring new insurance?,insurance_change
Walk me through the process of getting new insurance?,insurance_change
I am interested in acquiring new insurance?,insurance_change
How can i acquire new insurance?,insurance_change
What must i do if i want to adjust my insurance policy?,insurance_change
What is the protocol for modifying my insurance policy?,insurance_change
I dont like my current insurance plan and want a new one?,insurance_change
Walk me through making changes to my insurance policy?,insurance_change
I need new insurance but dont know how to get it?,insurance_change
I am thinking of switching to a different insurance plan?,insurance_change
Help me modify my insurance policy?,insurance_change
Could you help me out with a new renters' insurance plan?,insurance_change
I'd like a new life insurance plan?,insurance_change
Can you help me with a new car insurance plan?,insurance_change
I need to get a new motorcycle insurance plan?,insurance_change
Can i get a new pet insurance plan?,insurance_change
Where do i go to get new insurance?,insurance_change
"I need new insurance, how do i get it?",insurance_change
How do i apply for new insurance?,insurance_change
I would like you to help me get on another united healthcare insurance plan?,insurance_change
Can you help me get on a new united healthcare insurance plan?,insurance_change
I want to find a new united healthcare plan to get on?,insurance_change
I'd like to get on a new united healthcare plan?,insurance_change
I need to get on a new united healthcare insurance plan?,insurance_change
Help make changes to my insurance policy?,insurance_change
I must switch to a new insurance plan?,insurance_change
I need help to make changes to my insurance policy?,insurance_change
I gotta switch to a new insurance plan?,insurance_change
Help me make changes to my insurance policy?,insurance_change
I need to switch to a new insurance plan?,insurance_change
I really need to switch to a new insurance plan?,insurance_change
I would like to make changes to my insurance policy?,insurance_change
I need to make changes to my insurance policy?,insurance_change
I shall switch to a new insurance plan?,insurance_change
How do i update my insurance?,insurance_change
How can i get new insurance?,insurance_change
How can i find out about new insurance?,insurance_change
I need to find new insurance?,insurance_change
"I need to get new insurance, how do i do it?",insurance_change
Can you switch me to a new insurance plan?,insurance_change
I would like to switch to a different insurance plan?,insurance_change
Help me switch to a new insurance plan?,insurance_change
Switch my insurance plan to a new one?,insurance_change
What are my options for new insurance plans?,insurance_change
I want to shop for new insurance plans?,insurance_change
I would like to switch my insurance plan?,insurance_change
Help me find new insurance providers?,insurance_change
I would like to compare insurance plan options?,insurance_change
I need a new house insurance plan?,insurance_change
I want to get a new car insurance plan?,insurance_change
I need new health insurance?,insurance_change
I want a new policy with long-term care insurance?,insurance_change
I want a new motorcycle insurance plan?,insurance_change
How do i adjust my insurance policy?,insurance_change
My insurance policy needs to be adjusted?,insurance_change
I am in need of a switch to my insurance plan?,insurance_change
Walk me through on how to change my insurance?,insurance_change
I wish to request a change in insurance plans?,insurance_change
I would like to alter my insurance plan?,insurance_change
I need to know how to change my insurance?,insurance_change
I want to switch my insurance coverage?,insurance_change
Help me change my insurance?,insurance_change
How do i replace my insurance?,insurance_change
I need help finding my mobile phone?,find_phone
Help me figure out where my cell phone is?,find_phone
Give me a hand finding my mobile device?,find_phone
I can't find my cell and need help locating it?,find_phone
Can you help me find my cell?,find_phone
"Help, i cannot find my phone?",find_phone
I can't seem to find my phone?,find_phone
Are you able to track a phone?,find_phone
My phone cannot be found?,find_phone
I have misplaced my phone?,find_phone
I don't know where i left my phone?,find_phone
I left my phone somewhere?,find_phone
I am looking for my phone?,find_phone
I need you to find my phone?,find_phone
Please locate my phone?,find_phone
Can you help me find my lost phone?,find_phone
I need help figuring out where my phone is?,find_phone
Please help me figure out where my lost phone is?,find_phone
"Please help me find my phone, because i lost it?",find_phone
"I lost my phone, can you help me find it?",find_phone
Who has seen my cellphone?,find_phone
Have you seen my cellphone?,find_phone
Can you find my cellphone?,find_phone
Find my cellphone?,find_phone
Please help me find my phone?,find_phone
Where my phone?,find_phone
Where was the last place i had my phone?,find_phone
Can you find my iphone?,find_phone
I can't find my phone?,find_phone
"Call my phone, i can't find it?",find_phone
Can you find my lost phone?,find_phone
Do you know where my phone is?,find_phone
Can you help me find my cellphone?,find_phone
Can you call my cellphone?,find_phone
My phone is lost - can you help me find it?,find_phone
Where is my phone?,find_phone
Ai can you help me find my phone?,find_phone
"Ai, i lost my phone, help me find it please?",find_phone
"Ai, please help me find my phone?",find_phone
Ai locate my phone?,find_phone
Ai find my phone?,find_phone
How can i find my phone?,find_phone
"My phone is lost, can you help with that?",find_phone
I need to locate my phone?,find_phone
Find out where my phone is?,find_phone
Help me find my phone?,find_phone
Locate my phone please?,find_phone
What is the location of my phone?,find_phone
My phone is currently lost?,find_phone
I don't remember where my phone is?,find_phone
Locate my phone for me?,find_phone
The location of my phone is unknown to me?,find_phone
Find my phone?,find_phone
I need to find my phone?,find_phone
Please aid in my searching for my lost phone?,find_phone
Please help me locate my phone?,find_phone
Where did i last place my phone?,find_phone
Can you assist me in locating my phone?,find_phone
Is my phone in the house?,find_phone
I lost my phone and need help retrieving it?,find_phone
Help me search for my phone?,find_phone
Misplaced my phone?,find_phone
Can you help locate my phone?,find_phone
"I need my phone, but can't find it?",find_phone
I lost my phone and need assistance?,find_phone
I don't know where my phone is?,find_phone
I can't find my phone do you know where it is?,find_phone
Please tell me where my phone is?,find_phone
Can you help me find my phone?,find_phone
Do you know where my phone is located now?,find_phone
Can you track the location of my phone?,find_phone
Where can i find my phone?,find_phone
Can you locate my phone?,find_phone
Do you know where i left my phone?,find_phone
Where is my phone now?,find_phone
"Alexa, tell me the location of my phone?",find_phone
"Siri, where is my iphone?",find_phone
"Siri, tell me where my iphone is?",find_phone
"Siri, find my iphone?",find_phone
Help me locate my phone?,find_phone
You need to help me find my cellphone?,find_phone
Help me find my cellphone?,find_phone
Please help me find my cellphone?,find_phone
Where did i put my phone?,find_phone
Tell me where my phone is?,find_phone
Please find my phone?,find_phone
Locate my phone?,find_phone
I would like some help finding my phone?,find_phone
I need to know where my phone is?,find_phone
I seemed to misplaced my phone?,find_phone
I lost my phone?,find_phone
I need some help finding my phone?,find_phone
Can you locate my phone for me?,find_phone
I don't know where i put my phone?,find_phone
Help find my phone?,find_phone
I would like to know where my phone is?,find_phone
I'd like help finding my fon?,find_phone
I can't locate my phone?,find_phone
Can you tell me where i left my phone?,find_phone
Can you please locate my phone?,find_phone
Does ireland have any travel alerts i should be aware of?,travel_alert
Does north korea have any travel alerts i should be aware of?,travel_alert
Are there any travel alerts for russia?,travel_alert
Does spain have any travel alerts i should be aware of?,travel_alert
Are there any travel alerts for north korea?,travel_alert
Does macedonia have any travel alerts i should be aware of?,travel_alert
Are there any travel alerts for syria?,travel_alert
Are there any travel alerts for ukraine?,travel_alert
Does myanmar have any travel alerts i should be aware of?,travel_alert
Are there any travel alerts for china?,travel_alert
Is there a travel alert for russia?,travel_alert
Is there a travel alert for scotland?,travel_alert
Does russia have any travel alerts i should be aware of?,travel_alert
Is it safe to travel to iceland?,travel_alert
Is it safe to travel to russia?,travel_alert
Does italy have any travel alerts i should be aware of?,travel_alert
Does germany have any travel alerts i should be aware of?,travel_alert
Is there a travel alert for north korea?,travel_alert
Does china have any travel alerts i should be aware of?,travel_alert
Is there a travel alert for canada?,travel_alert
Is it safe to travel to norway?,travel_alert
Is it safe to travel to bermuda?,travel_alert
Is it safe to travel to argentina?,travel_alert
Does finland have any travel alerts i should be aware of?,travel_alert
Is there a travel alert for spain?,travel_alert
Have there been any travel alerts issued for france?,travel_alert
Tell me about any travel alerts issued for germany?,travel_alert
Are there any travel warnings for london?,travel_alert
Should i know about any travel alerts before traveling in the usa?,travel_alert
Are there any new travel warnings for the us?,travel_alert
Any travel advisories for portugal?,travel_alert
Can you tell me if germany issued any travel warnings?,travel_alert
Does france have any current travel alerts?,travel_alert
Does spain expect any travel alerts?,travel_alert
I am going to australia and want to be notified of any travel alerts?,travel_alert
"I am going to be traveling in turkey, are there any alerts?",travel_alert
Are there any alerts for traveling in belize?,travel_alert
What alerts are listed for traveling to paris?,travel_alert
I need to know about travel alerts for mexico?,travel_alert
What travel alerts are there in china?,travel_alert
Are there any alerts for travelling to beirut?,travel_alert
Argentina travel alert yes or no?,travel_alert
Does argentina have a travel alert?,travel_alert
Is there a travel alert in argentina?,travel_alert
List of countries with travel alerts?,travel_alert
Can traveling to nepal be safe (what's safe in x)?,travel_alert
Will i be safe while traveling to lyon (will you be safe)?,travel_alert
How safe is it to travel to mongolia (how safe is mongolia)?,travel_alert
Is it safe to travel to rio de janeiro (is rio de janeiro safe)?,travel_alert
Is traveling to dublin safe (will dublin be safe)?,travel_alert
Is new caledonia safer than other countries?,travel_alert
Is las vegas a safe place to visit?,travel_alert
If i go to baltimore will i be safe?,travel_alert
"Can you give me the travel alerts for jalisco, mexico?",travel_alert
What are the latest travel alerts for dubai?,travel_alert
"Are there any travel alerts i should know about for buenos aires, argentina?",travel_alert
I need any relevant travel alerts for australia?,travel_alert
Are there travel notifications for columbia?,travel_alert
Where in the world is there a travel alert?,travel_alert
